,Current Status,Gender,Education,Occupation,Account type,Have minimum balance?,Have multiple accounts?,Own an active loan?,Use internet or mobile banking?,Has an active credit Card?,Ever defaulted on a loan?,Satisfied with bank service?,Any transaction in the past 24 months,Age,Opening balance,Current balance,Dist of residence from the bank,Quarterly activity rate,Months since last transaction
19,Active,Female,Graduate,Student,Savings,No,No,No,Yes,Yes,Yes,Yes,No,22,600,646.0,5.0,0.0,1.0
20,Active,Male,Graduate,Student,Savings,No,No,No,No,No,No,Need Improvement,Yes,22,600,0.0,5.0,10.0,0.0
21,Active,Male,Graduate,Business,Current,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,20,5947,12879.0,0.0,10.0,5.4478
22,Dormant,Male,10th,Other,No Frill ACcount,Yes,No,No,No,Yes,No,No,Yes,20,500,0.0,23.7912,1.0,5.4478
23,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,35,5947,27239.0,23.7912,41.1346,5.4478
24,Active,Male,10th,Student,Savings,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,15,5947,4756.0,10.0,6.0,3.0
25,Inactive,Female,Graduate,Student,Savings,Yes,No,No,No,No,No,No,No,18,660,0.0,4.0,0.0,1.0
26,Dormant,Male,Doctrate,Salaried,Senior Citizen Account,Yes,Yes,No,Yes,Yes,Yes,Yes,No,54,5000,0.0,23.7912,41.1346,5.4478
27,Active,Male,12th,Other,Senior Citizen Account,Yes,No,No,No,No,No,Yes,Yes,54,500,27239.0,23.7912,30.0,5.4478
28,Active,Female,Doctrate,Business,Current,Yes,Yes,Yes,No,No,No,Yes,Yes,30,5000,3000.0,10.0,41.1346,5.4478
29,Active,Male,Graduate,Student,Savings,Yes,No,Yes,No,No,No,Yes,Yes,23,500,0.0,4.0,0.0,1.0
30,Active,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,22,5947,27239.0,23.7912,41.1346,5.4478
31,Active,Female,Graduate,Student,Savings,No,No,No,No,No,No,Yes,Yes,18,690,700.0,4.0,0.0,1.0
32,Active,Male,Graduate,Student,Savings,No,No,Yes,No,No,Yes,Yes,No,18,700,0.0,6.0,0.0,1.0
33,Active,Male,Graduate,Student,Savings,No,No,No,Yes,No,No,No,No,23,500,500.0,4.0,0.0,1.0
34,Active,Female,Graduate,Student,Savings,No,No,No,Yes,No,Yes,Yes,No,24,600,600.0,6.0,0.0,1.0
35,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,23,5000,20000.0,23.7912,3.0,-2.0
36,Active,Male,Graduate,Student,Savings,No,No,No,No,No,Yes,No,Yes,22,690,500.0,4.0,0.0,1.0
37,Active,Male,Post Graduate,Student,Savings,Yes,No,No,Yes,No,No,No,Yes,24,5000,4000.0,10.0,41.1346,1.0
38,Active,Male,12th,Student,Current,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,23,5947,12000.0,5.0,30.0,1.0
39,Active,Male,12th,Student,Current,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,23,5947,12000.0,5.0,30.0,1.0
40,Dormant,Male,Post Graduate,Other,No Frill ACcount,Yes,Yes,Yes,No,Yes,Yes,No,No,35,1000,200.0,23.7912,13.0,5.4478
41,Active,Male,Graduate,Salaried,Savings,Yes,No,Yes,Yes,No,No,Yes,Yes,24,1500,3000.0,2.0,15.0,1.0
42,Active,Male,Graduate,Business,Savings,Yes,Yes,Yes,Yes,Yes,Yes,Need Improvement,Yes,27,5947,25000.0,15.0,41.1346,1.0
43,Active,Male,Doctrate,Salaried,Salaried,No,No,No,Yes,Yes,No,Yes,Yes,30,0,27239.0,15.0,41.1346,1.0
44,Active,Male,Graduate,Salaried,Savings,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,28,5947,27239.0,10.0,41.1346,1.0
45,Dormant,Female,10th,Other,Savings,No,No,No,No,No,No,No,No,36,1000,1500.0,5.0,2.0,5.4478
